n_block      H_average        errore
965 -0.445343 0.00236983
966 -0.445368 0.00236751
967 -0.445454 0.00236662
968 -0.445578 0.00236745
969 -0.445634 0.00236567
970 -0.445651 0.00236329
971 -0.445702 0.0023614
972 -0.445731 0.00235915
973 -0.445781 0.00235724
974 -0.445724 0.00235552
975 -0.445673 0.00235364
976 -0.445629 0.00235164
977 -0.445666 0.00234953
978 -0.44553 0.00235108
979 -0.445517 0.00234872
980 -0.44557 0.00234692
981 -0.445646 0.00234575
982 -0.445611 0.00234363
983 -0.445722 0.00234386
984 -0.445732 0.0023415
985 -0.445653 0.00234046
986 -0.445601 0.00233868
987 -0.445669 0.00233731
988 -0.445705 0.00233521
989 -0.44564 0.00233374
990 -0.445634 0.00233139
991 -0.44562 0.00232908
992 -0.445782 0.00233234
993 -0.445693 0.00233166
994 -0.445837 0.00233376
995 -0.445861 0.00233154
